Alignment Curve UV, i.e. Vertical or Cant (each curve divided in 100 parts)
[U-Coordinate]  [V-Coordinate]
0.0000000000	0.1000000000
1.0000000000	0.0999702000
2.0000000000	0.0998816000
3.0000000000	0.0997354000
4.0000000000	0.0995328000
5.0000000000	0.0992750000
6.0000000000	0.0989632000
7.0000000000	0.0985986000
8.0000000000	0.0981824000
9.0000000000	0.0977158000
10.0000000000	0.0972000000
11.0000000000	0.0966362000
12.0000000000	0.0960256000
13.0000000000	0.0953694000
14.0000000000	0.0946688000
15.0000000000	0.0939250000
16.0000000000	0.0931392000
17.0000000000	0.0923126000
18.0000000000	0.0914464000
19.0000000000	0.0905418000
20.0000000000	0.0896000000
21.0000000000	0.0886222000
22.0000000000	0.0876096000
23.0000000000	0.0865634000
24.0000000000	0.0854848000
25.0000000000	0.0843750000
26.0000000000	0.0832352000
27.0000000000	0.0820666000
28.0000000000	0.0808704000
29.0000000000	0.0796478000
30.0000000000	0.0784000000
31.0000000000	0.0771282000
32.0000000000	0.0758336000
33.0000000000	0.0745174000
34.0000000000	0.0731808000
35.0000000000	0.0718250000
36.0000000000	0.0704512000
37.0000000000	0.0690606000
38.0000000000	0.0676544000
39.0000000000	0.0662338000
40.0000000000	0.0648000000
41.0000000000	0.0633542000
42.0000000000	0.0618976000
43.0000000000	0.0604314000
44.0000000000	0.0589568000
45.0000000000	0.0574750000
46.0000000000	0.0559872000
47.0000000000	0.0544946000
48.0000000000	0.0529984000
49.0000000000	0.0514998000
50.0000000000	0.0500000000
51.0000000000	0.0485002000
52.0000000000	0.0470016000
53.0000000000	0.0455054000
54.0000000000	0.0440128000
55.0000000000	0.0425250000
56.0000000000	0.0410432000
57.0000000000	0.0395686000
58.0000000000	0.0381024000
59.0000000000	0.0366458000
60.0000000000	0.0352000000
61.0000000000	0.0337662000
62.0000000000	0.0323456000
63.0000000000	0.0309394000
64.0000000000	0.0295488000
65.0000000000	0.0281750000
66.0000000000	0.0268192000
67.0000000000	0.0254826000
68.0000000000	0.0241664000
69.0000000000	0.0228718000
70.0000000000	0.0216000000
71.0000000000	0.0203522000
72.0000000000	0.0191296000
73.0000000000	0.0179334000
74.0000000000	0.0167648000
75.0000000000	0.0156250000
76.0000000000	0.0145152000
77.0000000000	0.0134366000
78.0000000000	0.0123904000
79.0000000000	0.0113778000
80.0000000000	0.0104000000
81.0000000000	0.0094582000
82.0000000000	0.0085536000
83.0000000000	0.0076874000
84.0000000000	0.0068608000
85.0000000000	0.0060750000
86.0000000000	0.0053312000
87.0000000000	0.0046306000
88.0000000000	0.0039744000
89.0000000000	0.0033638000
90.0000000000	0.0028000000
91.0000000000	0.0022842000
92.0000000000	0.0018176000
93.0000000000	0.0014014000
94.0000000000	0.0010368000
95.0000000000	0.0007250000
96.0000000000	0.0004672000
97.0000000000	0.0002646000
98.0000000000	0.0001184000
99.0000000000	0.0000298000
100.0000000000	0.0000000000
